Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
44637.24963568593,49,0,Self_Employed,Tier_1,13391.174890705777,0.0,2206.490129258186,6658.768340572072,2636.9706962044347,1651.8017262162875,1536.1842554984205,2911.792230881923,1546.9145393077706,0.0,831.5251201893564,13.890948127514207,6200.537192442157,11265.627706851701,1685.6962218203441,328.895281163744,465.7691723793779,195.15131970442437,678.292858894135,67.68247059153573,0.0,85.7355167261814
26858.596591729543,34,2,Retired,Tier_2,5371.719318345909,0.0,869.522616973343,2818.444460208314,1543.018777757239,649.378102691658,1050.241737526573,1626.1433462348405,1137.3513250935068,1551.723167073342,564.2350071403704,7.160375737936883,1923.1764339045449,9676.818732684449,540.3065609743139,119.3471392729626,141.8660892207998,234.13116770757009,286.6684081170868,6.603211579465993,56.30687375031202,97.38860573311446
50367.60508357677,35,1,Student,Tier_3,7555.140762536515,4612.1033864940755,2201.80004994864,6313.222080930132,3221.396403447025,1513.8143757540179,1723.3069258963044,3368.457107630641,2178.5158473219,3160.0262993703845,628.3712199568122,13.9978075391687,7050.360421687626,13891.450624290315,1466.0739836139662,473.54975177871074,410.85712937681257,459.9652564827151,488.38342327494263,7.290892451943464,106.65359736162743,138.54242192398323
101455.6002469913,21,0,Self_Employed,Tier_3,15218.340037048692,6809.441426747919,4889.418087072337,14690.149362877528,7106.13000500776,5040.249157842395,2858.1942402624245,6128.5503866316585,4571.118216513439,0.0,2526.0557123260573,16.45543971526684,16694.965136405768,31617.953614661077,1875.9327700858253,762.0207885828804,1241.0174478115837,320.1905938249095,1389.8150326091811,193.5027543462559,0.0,296.0411827445534
24875.28354773196,52,4,Professional,Tier_2,4975.056709546392,3112.6093984226027,635.90717006727,3034.3296645448127,1276.1551627316926,692.8272250153346,660.1868515437461,1092.6890239734757,1169.0958159721717,1445.2156935520268,515.5103002593428,7.533982196578117,1874.0994338344515,6265.700532103096,788.9531239694041,68.16076563734855,61.71250516811943,187.17375009486523,194.11712989682542,47.29459127462688,67.38812048153109,96.5570761532972
24875.61026730744,57,4,Self_Employed,Tier_2,4975.122053461488,0.0,1038.2309962500822,3250.0677560648446,1760.1648115834282,1049.0674532807413,751.0168146471772,1024.3097649089866,1022.2954389405938,2003.8520351331745,402.21784338673444,5.9442415409980445,1478.6663590860635,7599.265299650189,957.6191160978575,521.683848125779,135.92586532351916,148.9523258765519,86.56725555959414,13.14368313838549,33.96184273790608,96.67592468388821
106119.69276166476,53,0,Self_Employed,Tier_2,21223.938552332955,0.0,4360.20271016577,12790.390693134332,6345.738035731931,4390.9051043167165,2626.7716291812085,6202.549938283066,3807.098561946348,0.0,2776.7718136754547,17.338501566220952,18399.564591550105,41595.32572289698,2799.2346580002645,912.9585991955477,438.0097899965057,541.7023631137348,838.2999886442497,111.85758821687007,0.0,409.45314300282195
55431.34150830326,40,1,Professional,Tier_2,11086.268301660653,8307.702220408508,1755.439820438597,8194.482409804936,3353.001888004895,1741.913581746191,1219.684252046555,2361.9758927458674,2574.449980700129,5520.436851603138,850.0417120514694,11.972313337769307,6636.413892703046,8465.944597092319,1059.4996401341882,838.1637000499502,466.17925788210573,327.90205887320263,353.41164955241015,92.73953758904796,116.12172653106074,71.52096334085267
20606.733120766687,32,4,Retired,Tier_1,6182.019936230005,3562.488826158373,1018.5899396507027,3066.867219909219,1170.7906657213473,688.059837660429,418.23381565559583,921.2327170937115,830.2370548088703,1939.2265470814748,446.06868836859496,6.304983639055541,362.9178724283629,362.9178724283629,822.974022717233,212.99805916314264,85.48914206375149,97.81294649939096,252.34438341735176,9.984249639318369,59.95784809199136,80.75435332894958
46304.79023459725,30,1,Student,Tier_2,9260.95804691945,0.0,2130.2548254922986,5065.627031541116,2500.0548471092625,2040.3106657836295,1016.6131635998315,2945.4335609918926,1649.7575140341282,3085.991146873468,919.5331562360541,12.126401429533285,5615.1047449505895,15690.256276016116,962.0198876930227,380.27226241830766,598.8829040322513,188.31164182806216,793.6444698685805,34.87304365475653,39.73884111096927,203.14667495261716
